acn,reporter_function,reporter_ATC,reporter_GROUND,reporter_INSTRUCTION_EXAM,reporter_MAINT_SAFETY,reporter_OTH_CREW,reporter_OTH_UNKN,reporter_PILOT
1510560,LOCAL,0,0,0,0,0,1,0
1510398,RAMP,0,1,0,0,0,0,0
1510381,CAPTAIN; PILOT FLYING; AIRPORT PERSONNEL,0,1,0,0,0,0,1
1510308,INSTRUCTOR; PILOT NOT FLYING,0,0,0,0,0,0,1
1510304,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1510237,PILOT FLYING,0,0,0,0,0,0,1
1510232,PILOT FLYING; FIRST OFFICER,0,0,0,0,0,0,1
1510187,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1510179,PILOT FLYING,0,0,0,0,0,0,1
1510173,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1509528,FIRST OFFICER; PILOT NOT FLYING,0,0,0,0,0,0,1
1510779,SINGLE PILOT,0,0,0,0,0,0,1
1509527,CAPTAIN,0,0,0,0,0,0,1
1509505,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1508985,CAPTAIN,0,0,0,0,0,0,1
1508975,FIRST OFFICER; PILOT FLYING,0,0,0,0,0,0,1
1508965,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1508881,GROUND; LOCAL; SUPERVISOR / CIC; FLIGHT DATA / CLEARANCE DELIVERY,1,1,0,0,0,1,0
1508868,APPROACH,1,0,0,0,0,0,0
1508840,INSTRUCTOR; PILOT FLYING,0,0,0,0,0,0,1
1508809,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1508804,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1508753,OTHER / UNKNOWN,0,0,0,0,0,1,0
1508743,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1508988,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1508733,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1508637,APPROACH,1,0,0,0,0,0,0
1508596,TRAINEE; PILOT FLYING,0,0,0,0,0,0,1
1508587,TECHNICIAN,0,0,0,1,0,0,0
1508507,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1508472,RAMP,0,1,0,0,0,0,0
1508441,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1508434,PILOT NOT FLYING; FIRST OFFICER,0,0,0,0,0,0,1
1508078,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1508049,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1512452,APPROACH,1,0,0,0,0,0,0
1508657,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1508997,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1509002,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1509007,FIRST OFFICER; PILOT FLYING,0,0,0,0,0,0,1
1509497,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1509489,RAMP,0,1,0,0,0,0,0
1509474,FIRST OFFICER; PILOT NOT FLYING,0,0,0,0,0,0,1
1509471,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1509426,INSTRUCTOR; PILOT NOT FLYING,0,0,0,0,0,0,1
1509420,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1509387,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1509372,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1509285,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1509252,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1509233,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1509224,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1509218,FIRST OFFICER; PILOT NOT FLYING,0,0,0,0,0,0,1
1509179,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1509173,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1509172,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1509150,LOCAL,0,0,0,0,0,1,0
